cd_cnpj,nm_razao_social,qt_filial,cod_fl_matriz,dsc_fl_matriz,fl_optante_simei,de_optante_simei,fl_optante_simples,de_optante_simples,pk_dt_abertura,pk_endereco,pk_cnae,cd_natureza_juridica,de_classif_natureza_juridica,de_natureza_juridica,de_nivel_atividade,de_saude_tributaria,de_situacao,vl_total_veiculos_antt,filtro_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,vl_soma_veiculos_leves_pesados,fx_veiculo_leves_pesados
10886199000150,VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI,,1,MATRIZ,0,NÃO,1,SIM,69,70,15340,2313,PRIVADO,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
12019359000190,PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,71,72,15341,2240,PRIVADO,SOCIEDADE SIMPLES LIMITADA,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
06216178000150,CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,73,74,15342,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
12459122000120,RICARDO JOSE DA ROCHA MEI,,1,MATRIZ,1,SIM,1,SIM,75,76,15343,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
10532571000120,SAULO FERNANDO GATO SCRIBONI,,1,MATRIZ,0,NÃO,0,NÃO,77,78,15344,4120,PRIVADO,PRODUTOR RURAL PESSOA FISICA,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
11163415000100,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,,1,MATRIZ,0,NÃO,0,NÃO,79,80,15345,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,AZUL,ATIVA,,NÃO,,,0,00 a 05
20963351002230,DIOCESE DE ITABIRA,,0,FILIAL,0,NÃO,0,NÃO,81,82,15346,3220,PRIVADO,ORGANIZACAO RELIGIOSA,ALTA,VERDE,ATIVA,,NÃO,4,0,4,00 a 05
55055743000150,CONDOMINIO ABC SHOPPING CENTER,,1,MATRIZ,0,NÃO,0,NÃO,83,84,15347,3999,PRIVADO,ASSOCIACAO PRIVADA,MEDIA,VERMELHO,ATIVA,,NÃO,,,0,00 a 05
11199599000150,LUSCO FUSCO FILMES EPP LTDA,,1,MATRIZ,0,NÃO,1,SIM,85,86,15348,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
09445384000120,S DE SENA FERREIRA ME,3,1,MATRIZ,0,NÃO,1,SIM,87,88,15349,2135,PRIVADO,EMPRESARIO INDIVIDUAL,ALTA,VERDE,ATIVA,,NÃO,4,0,4,00 a 05
87301180000120,ELIAR HOFSTATTER ME,,1,MATRIZ,0,NÃO,0,NÃO,89,90,15350,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
08739568000130,PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,91,92,15351,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
04500550000120,O F DE OLIVEIRA ME,,1,MATRIZ,0,NÃO,0,NÃO,93,94,15352,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
12810402000130,SILVANI PRATES DOS SANTOS ME,,1,MATRIZ,0,NÃO,1,SIM,95,96,15353,2135,PRIVADO,EMPRESARIO INDIVIDUAL,BAIXA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
05410317000110,HYDROLAB ENGENHARIA E CONSULTORIA ME SS,,1,MATRIZ,0,NÃO,0,NÃO,97,98,15354,2232,PRIVADO,SOCIEDADE SIMPLES PURA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
12223579000130,WORK TAX SOLUCAO EMPRESARIAL LTDA ME,,1,MATRIZ,0,NÃO,1,SIM,99,100,15355,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
96617865000170,TOSHIO TATSUMI MARACAI ME,,1,MATRIZ,0,NÃO,0,NÃO,101,102,15356,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
08047579000150,ILSA ALICE MULLER OLIVEIRA,1,1,MATRIZ,0,NÃO,0,NÃO,103,104,15357,4120,PRIVADO,PRODUTOR RURAL PESSOA FISICA,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
09873296000120,ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR,,1,MATRIZ,0,NÃO,0,NÃO,105,106,-,4090,PRIVADO,CANDIDATO A CARGO POLITICO ELETIVO,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
08641806000170,AFM MODALIDADE LOTERICA LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,107,108,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
09214498000160,O BARISTA CAFE LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,109,110,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
12690066000130,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,111,112,15358,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,AZUL,ATIVA,,NÃO,,,0,00 a 05
07605227000100,MARVELISE MULER DE OLIVEIRA & CIA LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,113,114,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
94409778000100,O WEHRMANN E CIA LTDA M E ME,,1,MATRIZ,0,NÃO,0,NÃO,115,116,15359,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,BAIXA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
21081120000130,CARTORIO DO REGISTRO CIVIL DE NICOLANDIA,,1,MATRIZ,0,NÃO,0,NÃO,117,118,15360,3034,PRIVADO,SERVICO NOTARIAL E REGISTRAL CARTORIO,MEDIA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
77687663000150,ARTECLASSE ESTOFADOS EIRELI,,1,MATRIZ,0,NÃO,1,SIM,119,120,15361,2305,PRIVADO,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA,ALTA,VERDE,ATIVA,,NÃO,2,1,3,00 a 05
13103110000120,MARINETE SILVA PEREIRA MEI,,1,MATRIZ,1,SIM,1,SIM,121,122,15362,2135,PRIVADO,EMPRESARIO INDIVIDUAL,BAIXA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
84630474000450,L M L EXPORTACAO DE CAFE LTDA,,0,FILIAL,0,NÃO,0,NÃO,123,124,15363,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
37224847000160,AREEIRO COSME & DAMIAO LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,125,126,15364,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,BAIXA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
11971190000100,SILVANIRA PEREIRA NAZARE MEI,,1,MATRIZ,1,SIM,1,SIM,127,128,15365,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
07244034000170,CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,129,130,15366,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,AZUL,ATIVA,,NÃO,,,0,00 a 05
12121605000110,NADIR RODOLFO DE JESUS TOLEDO E OUTRA,,1,MATRIZ,0,NÃO,0,NÃO,131,132,15367,4120,PRIVADO,PRODUTOR RURAL PESSOA FISICA,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
12708033000170,JORGE SOARES DE OLIVEIRA MEI,,1,MATRIZ,1,SIM,1,SIM,133,134,15368,2135,PRIVADO,EMPRESARIO INDIVIDUAL,BAIXA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
62955505281310,IGREJA DO EVANGELHO QUADRANGULAR,,0,FILIAL,0,NÃO,0,NÃO,135,136,15369,3220,PRIVADO,ORGANIZACAO RELIGIOSA,MEDIA,VERMELHO,ATIVA,,NÃO,,,0,00 a 05
21614193000140,GARFIG REPRESENTACOES LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,137,138,15370,2240,PRIVADO,SOCIEDADE SIMPLES LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
05008116000190,BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,139,140,15371,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,BAIXA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
07095151000110,SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,141,142,15372,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
15493137000100,RICARDO PIRES LEAL MEI,,1,MATRIZ,1,SIM,1,SIM,143,144,15373,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
09253073000160,RENATA FERREIRA DA SILVA VESTUARIO ME,,1,MATRIZ,0,NÃO,1,SIM,145,146,15374,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
05266699000150,VALDIVIA ROSA DOS SANTOS LIMA ME,,1,MATRIZ,0,NÃO,1,SIM,147,148,15375,2135,PRIVADO,EMPRESARIO INDIVIDUAL,ALTA,AZUL,ATIVA,,NÃO,,,0,00 a 05
05312857000160,BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA,,1,MATRIZ,0,NÃO,0,NÃO,149,150,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
05421886000160,BISSOTO & DARIOLI MINIMERCADO LTDA,,1,MATRIZ,0,NÃO,0,NÃO,151,152,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
42064295000100,AUTO LOCADORA TRANS REI LTDA,,1,MATRIZ,0,NÃO,0,NÃO,153,154,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
01893515000120,VITOR A RODRIGUES GAS,,1,MATRIZ,0,NÃO,0,NÃO,155,156,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
15136062000100,INSTITUTO DE ENSINO E ASSISTENCIA TECNICA ELETRONICA LT,,1,MATRIZ,0,NÃO,0,NÃO,157,158,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
17184201078970,TELECOMUNICACOES DE MINAS GERAIS SA TELEMIG,,0,FILIAL,0,NÃO,0,NÃO,159,160,-,2038,MISTA,SOCIEDADE DE ECONOMIA MISTA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
15136583000150,ARTUR WATT IRMAO CIA LTDA,,1,MATRIZ,0,NÃO,0,NÃO,161,162,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
15361199000150,MAMORE AUTO POSTO LTDA,,1,MATRIZ,0,NÃO,0,NÃO,163,164,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
15608045000110,FERNANDES & FILHOS LTDA,,1,MATRIZ,0,NÃO,0,NÃO,165,166,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
07435464000170,LUIZ HIPOLITO DOS SANTOS ME,,1,MATRIZ,0,NÃO,0,NÃO,167,168,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
08180392000120,GIOVANNI CIRACI ME,,1,MATRIZ,0,NÃO,0,NÃO,169,170,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
02265502000170,ILDEU DOS SANTOS ABBADIA,,1,MATRIZ,0,NÃO,0,NÃO,171,172,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
04907539000180,F DE ASSIS MELO ME,,1,MATRIZ,0,NÃO,0,NÃO,173,174,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
12537293000120,GERALDO SIMIAO AZEVEDO ME,,1,MATRIZ,0,NÃO,0,NÃO,175,176,15376,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
09437544000190,H D INFORMATICA LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,177,178,15377,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
10118122000130,ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PSDC,,1,MATRIZ,0,NÃO,0,NÃO,179,180,-,3999,PRIVADO,ASSOCIACAO PRIVADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
03814359000190,ITIBAN CONTABILIDADE LTDA ME SC,,1,MATRIZ,0,NÃO,0,NÃO,181,182,-,2240,PRIVADO,SOCIEDADE SIMPLES LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
61538567000100,COPERNOX INOXIDAVEIS LTDA,,1,MATRIZ,0,NÃO,0,NÃO,183,184,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,1,0,1,00 a 05
04966436000190,J DE OLIVEIRA MUNIZ PANIFICADORA ME,,1,MATRIZ,0,NÃO,0,NÃO,185,186,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
64624521000100,ARTHUR PEDRO FERREIRA ASSIS,,1,MATRIZ,0,NÃO,0,NÃO,187,188,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
77365765000150,ACCACIO MOSCARDI,,1,MATRIZ,0,NÃO,0,NÃO,189,190,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
00326297000180,MARCI VICENTE PSCHEIDT ME,,1,MATRIZ,0,NÃO,0,NÃO,191,192,15378,2135,PRIVADO,EMPRESARIO INDIVIDUAL,BAIXA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
14644627000190,FRANCISCO ANTONIO CORREA DE APOIO ESCRITORIO ME,,1,MATRIZ,0,NÃO,1,SIM,193,194,15379,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
13629575000110,MARLENE ALVES DE FREITAS ME,,1,MATRIZ,0,NÃO,0,NÃO,195,196,15380,2135,PRIVADO,EMPRESARIO INDIVIDUAL,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
15581916000150,CLAUDENIR MANOEL DE ARAUJO MEI,,1,MATRIZ,1,SIM,1,SIM,197,198,15381,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
03471229000100,MOVEIS PORTUGUES LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,199,200,15382,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,AZUL,ATIVA,,NÃO,,,0,00 a 05
06230514000110,MERCADAO DE CARNES CACHOEIRINHA LTDA ME,,1,MATRIZ,0,NÃO,1,SIM,201,202,15383,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,BAIXA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
14894610000190,JOSIAS ALVES DE CAMPOS MEI,,1,MATRIZ,1,SIM,1,SIM,203,204,15384,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
05438357000170,IOLANDA CIRINO ME,,1,MATRIZ,0,NÃO,0,NÃO,205,206,15385,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
13401477000120,LAGOA LOTERIAS LTDA ME,,1,MATRIZ,0,NÃO,1,SIM,207,208,15386,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
72833999000160,MICHEL GEORGES MICHAELIDES ME,,1,MATRIZ,0,NÃO,1,SIM,209,210,15387,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
12481765000170,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,,1,MATRIZ,0,NÃO,1,SIM,211,212,15388,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
11771732000100,ILHA COMERCIO DE ARTIGOS DE SURF LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,213,214,15389,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
10441320000130,PORTAS PRONTAS BARRETO LTDA ME,,1,MATRIZ,0,NÃO,1,SIM,215,216,15390,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,2,0,2,00 a 05
10850466000130,SG PROJETOS LTDA,,1,MATRIZ,0,NÃO,0,NÃO,217,218,15391,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
